JPT_KOD_JE,JPT_NAZWA_,Dlugosc,Szerokosc
617011,Świdnik,22.68541,51.21914
807043,Sulęcin,15.17665,52.43138
418092,Kowal,19.16673,52.53065
809022,Bojadła,15.82767,51.96544
809072,Świdnica,15.34635,51.90661
3215043,Borne Sulinowo,16.50863,53.59336
3023052,Powidz,17.93425,52.43075
1061011,Łódź,19.48026,51.76649
2802053,Pieniężno,20.16323,54.24104
3028062,Wapno,17.46872,52.91472
1804042,Jarosław,22.70351,50.04283
2813032,Kowale Oleckie,22.33430,54.14617
3201033,Karlino,15.82850,54.04448
3017042,Ostrów Wielkopolski,17.78605,51.68349
3016023,Rogoźno,16.99034,52.73747
3214033,Dobrzany,15.44469,53.35884
3214062,Kobylanka,14.85192,53.36987
2406062,Panki,18.75393,50.88761
2602052,Oksa,20.14445,50.74650
1413102,Wiśniewo,20.30664,53.05293
3019011,Piła,16.76303,53.14555
225063,Węgliniec,15.16540,51.34551
402042,Brzozie,19.60375,53.30339
403083,Solec Kujawski,18.25254,53.03517
606052,Krasnystaw,23.16136,51.00181
226011,Wojcieszów,15.92292,50.95487
401011,Aleksandrów Kujawski,18.69862,52.87818
808012,Lubrza,15.40633,52.29250
1409023,Ciepielów,21.54721,51.23150
1410042,Platerów,22.79959,52.29725
1411082,Rzewnie,21.35571,52.82036
1201082,Trzciana,20.37314,49.83439
404032,Kijewo Królewskie,18.44016,53.26465
407011,Inowrocław,18.25334,52.78078
1006082,Nowosolna,19.62828,51.81181
1009052,Rząśnia,19.06832,51.22362
3026033,Książ Wielkopolski,17.21738,52.04771
3017011,Ostrów Wielkopolski,17.81430,51.64701
1437063,Żuromin,19.91179,53.04640
1402042,Gołymin-Ośrodek,20.83079,52.82031
1462011,Płock,19.70159,52.53755
1412073,Halinów,21.36241,52.23362
1408011,Legionowo,20.93208,52.40511
1419102,Radzanowo,19.86204,52.57884
615052,Komarówka Podlaska,22.95983,51.83087
1419063,Gąbin,19.76301,52.41724
3030023,Miłosław,17.51501,52.18787
2205032,Przodkowo,18.26459,54.39475
2205023,Kartuzy,18.12061,54.35803
2215102,Wejherowo,18.22648,54.59448
1007043,Opoczno,20.30207,51.39862
2605033,Końskie,20.38711,51.18051
1805062,Krempna,21.48676,49.49240
2205042,Sierakowice,17.87081,54.34526
1423052,Potworów,20.73585,51.49063
2207022,Gardeja,19.03547,53.64507
1814032,Gać,22.39782,50.02650
2008043,Knyszyn,22.95201,53.33340
2008063,Mońki,22.79712,53.39863
3017023,Nowe Skalmierzyce,17.97992,51.71455
2606072,Tarłów,21.72651,50.99615
2608022,Kije,20.58108,50.61300
2815052,Małdyty,19.73067,53.90311
1410032,Olszanka,22.66201,52.14799
3024073,Szamotuły,16.56451,52.58224
2613063,Włoszczowa,19.95554,50.83451
2801063,Sępopol,21.02180,54.29249
2402102,Wilkowice,19.07460,49.75864
2402052,Jasienica,18.90641,49.83801
1434052,Dąbrówka,21.26429,52.48936
608092,Niedźwiada,22.70709,51.52591
418043,Brześć Kujawski,18.90190,52.63028
