TERYT Gmina,Nazwa Gminy,RODZAJ,Długość,Szerokość
1212032,Bolesław,gmina,"533668,238332592","270710,626644592"
1215052,Jordanów,gmina,"559338,461316973","199331,516838893"
207042,Marciszów,gmina,"290280,372439757","336345,058102693"
409012,Dąbrowa,gmina,"428783,781459183","544721,740664276"
411062,Radziejów,gmina,"469805,410756182","529343,872494096"
3214042,Dolice,gmina,"246471,752929446","599000,096172473"
2602093,Wodzisław,gmina,"587032,83968051","295618,638696229"
2412052,Świerklany,gmina,"469499,986665862","240296,902816458"
1425112,Wierzbica,gmina,"646260,552324157","377823,287890478"
1804011,Jarosław,gmina,"762947,875405562","247417,357124227"
2001062,Płaska,gmina,"782605,358557074","676262,555621132"
2011052,Kuźnica,gmina,"805669,704949086","636305,412248786"
2818022,Dubeninki,gmina,"735002,775079974","722146,65333729"
2819033,Węgorzewo,gmina,"674228,512892171","709018,395156089"
2808022,Barciany,gmina,"650999,751738769","710878,177224791"
604022,Dołhobyczów,gmina,"854658,369842939","308437,47839921"
1804082,Radymno,gmina,"782164,460759793","239085,476927686"
2012062,Rutka-Tartak,gmina,"757755,134652481","724330,877410161"
2206062,Lipusz,gmina,"419695,65671881","693548,576693049"
206021,Kowary,gmina,"277360,965100488","328525,294049937"
2415031,Rydułtowy,gmina,"459053,739947008","244534,180868803"
215042,Oława,gmina,"380958,417670222","341594,639282931"
2210052,Sztutowo,gmina,"516147,289948912","719873,856533172"
2211011,Hel,gmina,"483843,870753784","751005,405142022"
619022,Hanna,gmina,"808407,470881082","435140,833863395"
3210033,Dębno,gmina,"211910,585286761","553362,380279005"
609082,Konopnica,gmina,"738613,042953868","377835,543428016"
609052,Głusk,gmina,"752652,974708869","372717,781115502"
1801052,Lutowiska,gmina,"767676,524696094","149182,559706298"
1602033,Głubczyce,gmina,"413482,633928431","259716,403405087"
1817042,Komańcza,gmina,"724557,075725694","165814,523442934"
1821022,Cisna,gmina,"747123,019723646","151448,918067874"
418052,Choceń,gmina,"501758,777522131","514856,55996355"
1218062,Spytkowice,gmina,"537116,675520228","235523,015654947"
1434093,Radzymin,gmina,"646912,376743297","509459,302367226"
1411042,Krasnosielc,gmina,"644931,024669947","578902,122553631"
2807073,Zalewo,gmina,"541022,401105691","660641,359837118"
1002092,Oporów,gmina,"535690,64096537","488924,657853856"
203052,Pęcław,gmina,"310421,242766952","423421,734746926"
2806102,Wydminy,gmina,"699818,161506475","682336,369914959"
603113,Siedliszcze,gmina,"790821,967407571","378544,991751065"
2417042,Jeleśnia,gmina,"523952,075255083","192767,794973144"
1217032,Bukowina Tatrzańska,gmina,"579820,172521062","161939,780979363"
2603022,Czarnocin,gmina,"609167,965194319","275143,566219905"
2604142,Piekoszów,gmina,"600032,294139435","335304,743605998"
2612053,Połaniec,gmina,"661109,548218774","287901,615354875"
3004023,Gostyń,gmina,"360724,427127248","449520,78636509"
3007012,Blizanów,gmina,"432746,307019645","448817,640614497"
3007112,Żelazków,gmina,"441587,701595429","441501,510847528"
3008022,Bralin,gmina,"422466,472140172","379759,846084517"
3012043,Krotoszyn,gmina,"397135,238098256","429314,213548556"
2406032,Lipie,gmina,"484955,395598105","351939,91818693"
2407083,Woźniki,gmina,"501867,430647236","303324,579063517"
2408052,Wyry,gmina,"492927,065589951","249907,676466826"
2410062,Suszec,gmina,"487385,021466747","239715,477336281"
2409042,Poraj,gmina,"516534,210760051","310032,935744904"
2413052,Krupski Młyn,gmina,"475184,846634377","300492,332328695"
1433011,Węgrów,gmina,"706174,35893302","508675,091055808"
1806023,Kolbuszowa,gmina,"699818,018771431","264818,35169253"
1806042,Niwiska,gmina,"687818,121161325","267194,953559529"
1805011,Jasło,gmina,"677933,507467891","211909,73527074"
1805032,Dębowiec,gmina,"674021,95916902","200817,121934784"
1208053,Miechów,gmina,"575089,842249704","276377,351496095"
1209022,Lubień,gmina,"568656,919884459","202216,225397407"
1209033,Myślenice,gmina,"567514,975087031","220417,19641217"
405062,Zbójno,gmina,"508120,127129319","571605,313237222"
407011,Inowrocław,gmina,"449653,40694173","546389,631646938"
3206092,Widuchowa,gmina,"196258,190992403","593297,470506593"
3209033,Bobolice,gmina,"339543,337102537","682361,74256748"
613052,Podedwórze,gmina,"792072,250994328","430371,609786724"
3210013,Barlinek,gmina,"243768,864449698","574041,631843746"
615062,Radzyń Podlaski,gmina,"749606,618133595","442643,144399823"
2210023,Nowy Dwór Gdański,gmina,"510821,486170281","704002,217352802"
1020083,Stryków,gmina,"541618,856318909","449358,433393048"
1403021,Łaskarzew,gmina,"679234,375064231","438469,914234762"
1808011,Leżajsk,gmina,"743588,078754698","272085,313015614"
203032,Jerzmanowa,gmina,"295324,731850867","418351,260648276"
204013,Góra,gmina,"330561,781318948","426425,708214164"
1807083,Rymanów,gmina,"707595,454728326","190429,055271917"
1807102,Jaśliska,gmina,"706536,924139144","176841,649439831"
2202032,Chojnice,gmina,"406345,117499436","652536,905633169"
1006073,Koluszki,gmina,"557392,415437155","429204,538466046"
2014052,Zambrów,gmina,"714340,411944017","573624,285522814"
3061011,Kalisz,gmina,"436230,746401345","431242,642387784"
2603043,Opatowiec,gmina,"619764,086152315","267878,612826189"
2401042,Bobrowniki,gmina,"502033,401324885","282468,125800908"
2612033,Oleśnica,gmina,"646982,127734867","290039,602310097"
1413082,Szydłowo,gmina,"600300,33412682","581514,475948905"
