jpt_nazwa_,ID,Powiat_ID,Długość,Szerokość
powiat białostocki,2002,p_2002,23.24,53.10
powiat moniecki,2008,p_2008,22.79,53.41
powiat kazimierski,2603,p_2603,20.52,50.28
powiat kielecki,2604,p_2604,20.71,50.83
powiat Suwałki,2063,p_2063,22.93,54.10
powiat sokólski,2011,p_2011,23.43,53.46
powiat koniński,3010,p_3010,18.26,52.28
powiat kościański,3011,p_3011,16.70,52.05
powiat zambrowski,2014,p_2014,22.26,53.01
powiat Białystok,2061,p_2061,23.16,53.13
powiat turecki,3027,p_3027,18.51,52.00
powiat wągrowiecki,3028,p_3028,17.27,52.81
powiat bielski,2003,p_2003,23.06,52.75
powiat Łomża,2062,p_2062,22.06,53.17
powiat grajewski,2004,p_2004,22.48,53.56
powiat suwalski,2012,p_2012,22.85,54.17
powiat poznański,3021,p_3021,16.94,52.39
powiat grodziski,3005,p_3005,16.36,52.18
powiat wolsztyński,3029,p_3029,16.13,52.07
powiat wrzesiński,3030,p_3030,17.59,52.25
powiat rawicki,3022,p_3022,16.96,51.64
powiat szamotulski,3024,p_3024,16.41,52.60
powiat słupecki,3023,p_3023,17.92,52.31
powiat Poznań,3064,p_3064,16.92,52.41
powiat gnieźnieński,3003,p_3003,17.60,52.54
powiat jarociński,3006,p_3006,17.52,51.99
powiat kaliski,3007,p_3007,18.22,51.80
powiat hajnowski,2005,p_2005,23.58,52.75
powiat siemiatycki,2010,p_2010,22.90,52.48
powiat kolneński,2006,p_2006,21.97,53.40
powiat gdański,2204,p_2204,18.60,54.22
powiat lęborski,2208,p_2208,17.69,54.58
powiat kościerski,2206,p_2206,18.00,54.05
powiat włoszczowski,2613,p_2613,19.96,50.83
powiat pucki,2211,p_2211,18.28,54.73
powiat słupski,2212,p_2212,17.17,54.47
powiat Kielce,2661,p_2661,20.61,50.86
powiat starachowicki,2611,p_2611,21.11,51.04
powiat staszowski,2612,p_2612,21.21,50.54
powiat konecki,2605,p_2605,20.34,51.14
powiat Sopot,2264,p_2264,18.54,54.44
powiat chojnicki,2202,p_2202,17.69,53.81
powiat człuchowski,2203,p_2203,17.17,53.73
powiat opatowski,2606,p_2606,21.51,50.84
powiat ostrowiecki,2607,p_2607,21.40,50.94
powiat Słupsk,2263,p_2263,17.03,54.47
powiat starogardzki,2213,p_2213,18.41,53.88
powiat skarżyski,2610,p_2610,20.80,51.08
powiat kartuski,2205,p_2205,18.08,54.31
powiat malborski,2209,p_2209,19.01,54.07
powiat nowodworski,2210,p_2210,19.19,54.28
powiat pińczowski,2608,p_2608,20.50,50.48
powiat sandomierski,2609,p_2609,21.63,50.68
powiat bytowski,2201,p_2201,17.32,54.14
powiat szczecinecki,3215,p_3215,16.58,53.74
powiat świdwiński,3216,p_3216,15.88,53.80
powiat jaworski,205,p_0205,16.15,51.02
powiat kamiennogórski,207,p_0207,16.00,50.75
powiat stargardzki,3214,p_3214,15.22,53.35
powiat Wrocław,264,p_0264,17.00,51.13
powiat koszaliński,3209,p_3209,16.38,54.11
powiat częstochowski,2404,p_2404,19.36,50.81
powiat elbląski,2804,p_2804,19.58,54.13
powiat ełcki,2805,p_2805,22.40,53.82
powiat giżycki,2806,p_2806,21.84,54.00
powiat iławski,2807,p_2807,19.55,53.65
powiat kętrzyński,2808,p_2808,21.31,54.15
powiat lidzbarski,2809,p_2809,20.41,54.11
powiat mrągowski,2810,p_2810,21.37,53.81
powiat nidzicki,2811,p_2811,20.47,53.36
powiat nowomiejski,2812,p_2812,19.53,53.44
powiat olecki,2813,p_2813,22.41,54.05
powiat olsztyński,2814,p_2814,20.55,53.81
powiat piski,2816,p_2816,21.84,53.66
powiat ostródzki,2815,p_2815,19.96,53.75
powiat szczycieński,2817,p_2817,21.02,53.54
powiat Jelenia Góra,261,p_0261,15.71,50.87
powiat wałecki,3217,p_3217,16.27,53.24
powiat łobeski,3218,p_3218,15.48,53.65
