JPT_NAZWA_,JPT_KOD_JE,longitude,latitude,mean_longitude,mean_latitude
powiat człuchowski,2203,379250.3976809416,653094.0025750415,378859.02463637054,655480.4308896335
powiat radziejowski,0411,473535.76071362686,524401.366281002,472622.48261702404,523144.4307863009
powiat Jaworzno,2468,520771.67332270066,259720.12521981198,519434.52859188616,258048.4551276872
powiat brzozowski,1802,721428.9218332878,210202.91047824803,722486.1623217548,211013.09981274558
powiat ostródzki,2815,563285.9118325448,653996.748150465,561575.3025031579,652149.5964843831
powiat ÅódÅº,1061,533131.8528053024,433453.5656304483,533038.0410010375,434166.4904761519
powiat rypiński,0412,527898.1484505831,575897.9081465461,529489.3967219627,578646.8254678058
powiat kamiennogórski,0207,288545.50902547827,325149.1003645132,287476.30651273555,325195.19379280787
powiat żuromiński,1437,560753.1507041986,574122.9711454198,559105.5602985687,572783.3690700126
powiat przeworski,1814,752947.7552268117,253384.59242167434,750605.6913003211,252739.8767486806
powiat biłgorajski,0602,768405.3260399319,300492.3605769838,766591.8109658554,308974.2121309242
powiat gliwicki,2405,467245.9217584641,276879.0372285009,463415.0859577146,277389.95946715586
powiat Dąbrowa Górnicza,2465,521308.75248081796,276393.2664453407,520545.9597481949,278118.2915597069
powiat Chorzów,2463,497227.01554251177,269737.33769329154,497891.4017934721,269037.2424511397
powiat Mysłowice,2470,510435.79266436596,258990.6099991033,509476.4450813116,260276.7573646088
powiat tarnobrzeski,1820,695413.2134880546,298564.7226670647,702294.4317065219,303034.692661901
powiat nowotomyski,3015,305259.170344003,502505.4259270543,307361.1809793825,502302.51143023977
powiat rybnicki,2412,468147.12389748206,249880.74983125157,456488.86054311827,249739.39801753033
powiat średzki,0218,333669.20062213624,365444.5538031855,334493.3973854736,364806.07741152076
powiat trzebnicki,0220,360732.83696157864,391492.71196642704,364967.53562395676,391420.7575366553
powiat kępiński,3008,427639.1135294055,375275.0801319505,427149.9040567087,376270.77380102966
powiat ostrzeszowski,3018,432219.7498265087,398626.5348254975,428586.15010296874,397374.0998152108
powiat wschowski,0812,304000.63166860706,444317.8556733403,302979.28791772644,444176.05402455246
powiat radzyński,0615,753657.7172619952,442771.3370908962,752938.4065975479,441412.1909670583
powiat wołomiński,1434,661078.6113462935,506879.1736495358,664518.696638945,507153.0204453366
powiat średzki,3025,385041.4065264337,480377.93682895094,381151.0864734249,480643.7617519703
powiat buski,2601,631851.9124692017,287202.3109976811,627726.203057071,289299.7182550072
powiat płoński,1420,591675.6715090704,529922.2262280791,596917.5555040764,531134.6929335706
powiat chrzanowski,1203,531646.3302989857,249718.62184401046,529163.546178288,250514.98913148977
powiat mielecki,1811,670231.2757413927,272129.28409275843,670634.8582730289,274574.7198395473
powiat opoczyński,1007,585518.3845649788,391284.93160140875,579685.6128324135,392485.5466687321
powiat zawierciański,2416,543321.7479105601,295127.99913932174,544239.3048982426,297624.08534009336
powiat jasielski,1805,677924.8021998127,201113.80680416315,677948.9263652087,200009.3502092911
powiat malborski,2209,500911.5427771172,690039.3577588972,501861.30819138646,688736.5251277531
powiat kętrzyński,2808,651140.7546501585,700448.9751079082,648983.1126246223,699132.0701397122
powiat grudziądzki,0406,497086.394800851,623632.327706363,500810.8550404526,622959.4319519112
powiat leszczyński,3013,332649.24212068587,447889.56224436447,345026.2829737937,445517.38086476736
powiat opolski,0612,708373.9539995503,367799.9113253591,710843.8017827508,366466.8321989742
powiat sochaczewski,1428,582748.9525552933,489726.60481044016,578557.9344865424,489546.39448954165
powiat Bydgoszcz,0461,436631.7750068248,585527.6754416643,435234.19768417266,585392.0891721314
powiat zielonogórski,0809,262653.9305009223,463422.5580210125,278778.398265921,462163.1127031846
powiat działdowski,2803,568185.0572407756,601042.298112995,565588.5238514596,603124.6549273063
powiat tarnowski,1216,641122.489855636,232975.066377193,640286.9257490765,236971.87989443867
powiat Elbląg,2861,528651.4305660956,702997.8263677794,528764.4776371121,703930.0995394988
powiat hrubieszowski,0604,843942.0201643177,330490.13142928644,843585.9498953393,327402.7440873734
powiat włodawski,0619,805830.7433401552,412504.35829812405,805144.6167554659,416021.6862332071
powiat Sopot,2264,471650.25621711265,731159.7736449764,471591.62406530615,731081.0027259802
powiat chojnicki,2202,413538.83849203045,661345.6786865542,416443.3941451496,660457.2044595396
powiat mogileński,0409,437228.5576712926,530653.0047276936,433815.4546672357,533278.07428846
powiat żniński,0419,416037.98992040445,551518.1631354436,411656.92960053147,551449.0230828263
powiat inowrocławski,0407,452771.44681701565,547853.35565569,454241.2642937955,544497.2065089499
powiat pińczowski,2608,606244.7193505976,291229.02571403136,605515.3383615246,293766.45098624704
powiat brzeski,1202,618263.6767823839,236510.1069600411,618825.404735537,236174.16542590596
powiat rzeszowski,1816,718913.2932747393,246096.57655965784,705003.2446820702,248267.11260351725
